Time,Distance,Longitude,Latitude,LTE_UE_PCI,LTE_UE_RSRP,LTE_UE_RSRQ,LTE_UE_SINR,App_Throughput_DL
04/01/2019 15:37,,"243,501","636,200",191,-94,-6.1,25.7,
04/01/2019 15:37,0.496668,"243,501","636,199",191,-91,-6.1,26.7,
04/01/2019 15:37,0.952479,"243,501","636,199",191,-89.9,-6.1,30,
04/01/2019 15:37,"1,200,813","243,501","636,199",191,-89.2,-6.4,24,
04/01/2019 15:37,"1,357,583","243,501","636,199",191,-88.15,-6.45,23.35,
04/01/2019 15:37,"1,605,917","243,502","636,199",191,-92.9,-6.4,26.15,
04/01/2019 15:37,"2,005,129","243,502","636,198",191,-93.65,-7.85,25.95,1045.78
04/01/2019 15:37,"2,253,462","243,502","636,198",191,-90.1,-7.5,26.65,19446.75
04/01/2019 15:37,"2,410,232","243,502","636,198",191,-86.3,-7.6,27.35,19795.07
04/01/2019 15:37,"2,723,772","243,502","636,198",191,-88.5,-7.4,27.9,30949.04
04/01/2019 15:37,"2,972,106","243,502","636,198",191,-89.1,-7.75,26.85,31925.71
04/01/2019 15:37,"3,219,521","243,503","636,198",191,-87.45,-7.7,26.55,28805.72
04/01/2019 15:37,"3,533,061","243,503","636,197",191,-88,-6.5,28.05,25121.93
04/01/2019 15:37,"3,780,476","243,503","636,197",191,-86.05,-6.15,28.5,26438.2
04/01/2019 15:37,"3,780,476","243,503","636,197",191,-85.8,-8.85,29.05,27929.13
04/01/2019 15:37,"4,027,892","243,503","636,197",191,-86.2,-6.25,28.15,27531.1
04/01/2019 15:37,"4,580,442","243,502","636,197",191,-90.2,-6.15,27.4,28827.71
04/01/2019 15:37,"5,144,071","243,502","636,197",191,-88.3,-6,26.1,31285.61
04/01/2019 15:37,"5,925,592","243,501","636,197",191,-86,-5.5,28.6,33783.13
04/01/2019 15:37,"6,768,024","243,501","636,197",191,-90.1,-5.95,27.4,31229.87
04/01/2019 15:37,"7,907,462","243,500","636,197",191,-89.8,-9.35,26.8,26096.54
04/01/2019 15:37,"9,259,165","243,499","636,196",191,-90.75,-8.65,26.45,27547.71
04/01/2019 15:37,"10,856,010","243,498","636,195",191,-96.1,-7.6,24.8,30681.88
04/01/2019 15:37,"12,362,340","243,497","636,194",191,-92.5,-7.2,25.9,19705.72
04/01/2019 15:37,"14,023,697","243,495","636,194",191,-93.3,-6.1,24.9,17354.55
04/01/2019 15:37,"15,598,251","243,494","636,193",191,-89.2,-7.55,26,18180.74
04/01/2019 15:37,"17,259,609","243,493","636,192",191,-92.45,-9.65,25,19958.91
04/01/2019 15:37,"18,920,967","243,492","636,191",191,-87.8,-8.05,24.75,23606.73
04/01/2019 15:37,"20,582,323","243,491","636,190",191,-87.85,-6.45,24.75,16707.2
